date,quiniela,period,position,result
2014-11-01,corrientes,matutina, 1,0822
2014-11-01,corrientes,matutina,2,8886
2014-11-01,corrientes,matutina,3,5383
2014-11-01,corrientes,matutina,4,3600
2014-11-01,corrientes,matutina,5,0214
2014-11-01,corrientes,matutina,6,5464
2014-11-01,corrientes,matutina,7,8955
2014-11-01,corrientes,matutina,8,4380
2014-11-01,corrientes,matutina,9,5053
2014-11-01,corrientes,matutina,10,2158
2014-11-01,corrientes,matutina,11,7695
2014-11-01,corrientes,matutina,12,4159
2014-11-01,corrientes,matutina,13,9083
2014-11-01,corrientes,matutina,14,0561
2014-11-01,corrientes,matutina,15,7222
2014-11-01,corrientes,matutina,16,8077
2014-11-01,corrientes,matutina,17,0730
2014-11-01,corrientes,matutina,18,1991
2014-11-01,corrientes,matutina,19,8383
2014-11-01,corrientes,matutina,20,1809
2014-11-01,corrientes,matutina,Letras,- - - 
2014-11-03,corrientes,matutina, 1,8669
2014-11-03,corrientes,matutina,2,5404
2014-11-03,corrientes,matutina,3,1512
2014-11-03,corrientes,matutina,4,7502
2014-11-03,corrientes,matutina,5,9788
2014-11-03,corrientes,matutina,6,8212
2014-11-03,corrientes,matutina,7,0857
2014-11-03,corrientes,matutina,8,0969
2014-11-03,corrientes,matutina,9,8114
2014-11-03,corrientes,matutina,10,4842
2014-11-03,corrientes,matutina,11,7081
2014-11-03,corrientes,matutina,12,7192
2014-11-03,corrientes,matutina,13,0708
2014-11-03,corrientes,matutina,14,7096
2014-11-03,corrientes,matutina,15,0280
2014-11-03,corrientes,matutina,16,4511
2014-11-03,corrientes,matutina,17,5355
2014-11-03,corrientes,matutina,18,4651
2014-11-03,corrientes,matutina,19,6794
2014-11-03,corrientes,matutina,20,0102
2014-11-03,corrientes,matutina,Letras,- - - 
2014-11-04,corrientes,matutina, 1,2211
2014-11-04,corrientes,matutina,2,7963
2014-11-04,corrientes,matutina,3,8044
2014-11-04,corrientes,matutina,4,9570
2014-11-04,corrientes,matutina,5,9324
2014-11-04,corrientes,matutina,6,0821
2014-11-04,corrientes,matutina,7,5677
2014-11-04,corrientes,matutina,8,8230
2014-11-04,corrientes,matutina,9,1308
2014-11-04,corrientes,matutina,10,3892
2014-11-04,corrientes,matutina,11,8106
2014-11-04,corrientes,matutina,12,6966
2014-11-04,corrientes,matutina,13,2015
2014-11-04,corrientes,matutina,14,0502
2014-11-04,corrientes,matutina,15,5294
2014-11-04,corrientes,matutina,16,0120
2014-11-04,corrientes,matutina,17,1574
2014-11-04,corrientes,matutina,18,8802
2014-11-04,corrientes,matutina,19,3908
2014-11-04,corrientes,matutina,20,9640
2014-11-04,corrientes,matutina,Letras,- - - 
2014-11-05,corrientes,matutina, 1,3323
2014-11-05,corrientes,matutina,2,9385
2014-11-05,corrientes,matutina,3,7183
2014-11-05,corrientes,matutina,4,3229
2014-11-05,corrientes,matutina,5,5170
2014-11-05,corrientes,matutina,6,1847
2014-11-05,corrientes,matutina,7,9917
2014-11-05,corrientes,matutina,8,8378
2014-11-05,corrientes,matutina,9,4162
2014-11-05,corrientes,matutina,10,6385
2014-11-05,corrientes,matutina,11,0923
2014-11-05,corrientes,matutina,12,5456
2014-11-05,corrientes,matutina,13,2215
2014-11-05,corrientes,matutina,14,5787
2014-11-05,corrientes,matutina,15,5764
2014-11-05,corrientes,matutina,16,5593
2014-11-05,corrientes,matutina,17,1812
2014-11-05,corrientes,matutina,18,6605
2014-11-05,corrientes,matutina,19,7421
2014-11-05,corrientes,matutina,20,1226
2014-11-05,corrientes,matutina,Letras,- - - 
2014-11-06,corrientes,matutina, 1,6332
2014-11-06,corrientes,matutina,2,5688
2014-11-06,corrientes,matutina,3,1844
2014-11-06,corrientes,matutina,4,4334
2014-11-06,corrientes,matutina,5,4145
2014-11-06,corrientes,matutina,6,8237
2014-11-06,corrientes,matutina,7,6296
2014-11-06,corrientes,matutina,8,9945
2014-11-06,corrientes,matutina,9,2115
2014-11-06,corrientes,matutina,10,3562
2014-11-06,corrientes,matutina,11,5813
2014-11-06,corrientes,matutina,12,9752
2014-11-06,corrientes,matutina,13,9139
2014-11-06,corrientes,matutina,14,0982
2014-11-06,corrientes,matutina,15,6846
2014-11-06,corrientes,matutina,16,2596
2014-11-06,corrientes,matutina,17,1853
2014-11-06,corrientes,matutina,18,3274
2014-11-06,corrientes,matutina,19,2309
2014-11-06,corrientes,matutina,20,8260
2014-11-06,corrientes,matutina,Letras,- - - 
2014-11-07,corrientes,matutina, 1,3160
2014-11-07,corrientes,matutina,2,0041
2014-11-07,corrientes,matutina,3,7476
2014-11-07,corrientes,matutina,4,8379
2014-11-07,corrientes,matutina,5,0400
2014-11-07,corrientes,matutina,6,9086
2014-11-07,corrientes,matutina,7,6399
2014-11-07,corrientes,matutina,8,1779
2014-11-07,corrientes,matutina,9,8585
2014-11-07,corrientes,matutina,10,5352
2014-11-07,corrientes,matutina,11,6580
2014-11-07,corrientes,matutina,12,7142
2014-11-07,corrientes,matutina,13,5055
2014-11-07,corrientes,matutina,14,3065
2014-11-07,corrientes,matutina,15,4418
2014-11-07,corrientes,matutina,16,2453
2014-11-07,corrientes,matutina,17,5799
2014-11-07,corrientes,matutina,18,4119
2014-11-07,corrientes,matutina,19,8919
2014-11-07,corrientes,matutina,20,6504
2014-11-07,corrientes,matutina,Letras,- - - 
2014-11-08,corrientes,matutina, 1,2483
2014-11-08,corrientes,matutina,2,4691
2014-11-08,corrientes,matutina,3,9085
2014-11-08,corrientes,matutina,4,9243
2014-11-08,corrientes,matutina,5,1885
2014-11-08,corrientes,matutina,6,0836
2014-11-08,corrientes,matutina,7,8128
2014-11-08,corrientes,matutina,8,4535
2014-11-08,corrientes,matutina,9,5986
2014-11-08,corrientes,matutina,10,5261
2014-11-08,corrientes,matutina,11,5730
2014-11-08,corrientes,matutina,12,4353
2014-11-08,corrientes,matutina,13,4973
2014-11-08,corrientes,matutina,14,0559
2014-11-08,corrientes,matutina,15,1277
2014-11-08,corrientes,matutina,16,3647
2014-11-08,corrientes,matutina,17,5343
2014-11-08,corrientes,matutina,18,8187
2014-11-08,corrientes,matutina,19,2749
2014-11-08,corrientes,matutina,20,8662
2014-11-08,corrientes,matutina,Letras,- - - 
2014-11-10,corrientes,matutina, 1,9544
2014-11-10,corrientes,matutina,2,1710
2014-11-10,corrientes,matutina,3,5318
2014-11-10,corrientes,matutina,4,4178
2014-11-10,corrientes,matutina,5,2867
2014-11-10,corrientes,matutina,6,1739
2014-11-10,corrientes,matutina,7,2300
2014-11-10,corrientes,matutina,8,6824
2014-11-10,corrientes,matutina,9,2259
2014-11-10,corrientes,matutina,10,8380
2014-11-10,corrientes,matutina,11,7410
2014-11-10,corrientes,matutina,12,2348
2014-11-10,corrientes,matutina,13,3022
2014-11-10,corrientes,matutina,14,3619
2014-11-10,corrientes,matutina,15,8233
2014-11-10,corrientes,matutina,16,9912
2014-11-10,corrientes,matutina,17,5665
2014-11-10,corrientes,matutina,18,5435
2014-11-10,corrientes,matutina,19,7102
2014-11-10,corrientes,matutina,20,7608
2014-11-10,corrientes,matutina,Letras,- - - 
2014-11-11,corrientes,matutina, 1,0467
2014-11-11,corrientes,matutina,2,1684
2014-11-11,corrientes,matutina,3,4367
2014-11-11,corrientes,matutina,4,1301
2014-11-11,corrientes,matutina,5,4669
2014-11-11,corrientes,matutina,6,8729
2014-11-11,corrientes,matutina,7,2890
2014-11-11,corrientes,matutina,8,8983
2014-11-11,corrientes,matutina,9,3333
2014-11-11,corrientes,matutina,10,8548
2014-11-11,corrientes,matutina,11,3584
2014-11-11,corrientes,matutina,12,1859
2014-11-11,corrientes,matutina,13,2958
2014-11-11,corrientes,matutina,14,3759
2014-11-11,corrientes,matutina,15,5215
2014-11-11,corrientes,matutina,16,2333
2014-11-11,corrientes,matutina,17,8951
2014-11-11,corrientes,matutina,18,3352
2014-11-11,corrientes,matutina,19,7442
2014-11-11,corrientes,matutina,20,7464
2014-11-11,corrientes,matutina,Letras,- - - 
2014-11-12,corrientes,matutina, 1,6383
2014-11-12,corrientes,matutina,2,6385
2014-11-12,corrientes,matutina,3,7441
2014-11-12,corrientes,matutina,4,8987
2014-11-12,corrientes,matutina,5,2604
2014-11-12,corrientes,matutina,6,9827
2014-11-12,corrientes,matutina,7,0416
2014-11-12,corrientes,matutina,8,8939
2014-11-12,corrientes,matutina,9,4085
2014-11-12,corrientes,matutina,10,9912
2014-11-12,corrientes,matutina,11,6049
2014-11-12,corrientes,matutina,12,7469
2014-11-12,corrientes,matutina,13,1179
2014-11-12,corrientes,matutina,14,9196
2014-11-12,corrientes,matutina,15,3488
2014-11-12,corrientes,matutina,16,6241
2014-11-12,corrientes,matutina,17,0777
2014-11-12,corrientes,matutina,18,4400
2014-11-12,corrientes,matutina,19,5699
2014-11-12,corrientes,matutina,20,8349
2014-11-12,corrientes,matutina,Letras,- - - 
2014-11-13,corrientes,matutina, 1,3397
2014-11-13,corrientes,matutina,2,3796
2014-11-13,corrientes,matutina,3,8475
2014-11-13,corrientes,matutina,4,5614
2014-11-13,corrientes,matutina,5,6850
2014-11-13,corrientes,matutina,6,7191
2014-11-13,corrientes,matutina,7,2455
2014-11-13,corrientes,matutina,8,0498
2014-11-13,corrientes,matutina,9,4218
2014-11-13,corrientes,matutina,10,0058
2014-11-13,corrientes,matutina,11,5359
2014-11-13,corrientes,matutina,12,1254
2014-11-13,corrientes,matutina,13,4347
2014-11-13,corrientes,matutina,14,6510
2014-11-13,corrientes,matutina,15,8279
2014-11-13,corrientes,matutina,16,7266
2014-11-13,corrientes,matutina,17,1575
2014-11-13,corrientes,matutina,18,2461
2014-11-13,corrientes,matutina,19,8440
2014-11-13,corrientes,matutina,20,7227
2014-11-13,corrientes,matutina,Letras,- - - 
2014-11-14,corrientes,matutina, 1,0955
2014-11-14,corrientes,matutina,2,0297
2014-11-14,corrientes,matutina,3,5019
2014-11-14,corrientes,matutina,4,7948
2014-11-14,corrientes,matutina,5,7502
2014-11-14,corrientes,matutina,6,9843
2014-11-14,corrientes,matutina,7,6239
2014-11-14,corrientes,matutina,8,9513
2014-11-14,corrientes,matutina,9,9366
2014-11-14,corrientes,matutina,10,4884
2014-11-14,corrientes,matutina,11,7791
2014-11-14,corrientes,matutina,12,7850
2014-11-14,corrientes,matutina,13,6309
