date,quiniela,period,position,result
2014-11-01,corrientes,primera,1,8389
2014-11-01,corrientes,primera,2,9549
2014-11-01,corrientes,primera,3,0944
2014-11-01,corrientes,primera,4,6651
2014-11-01,corrientes,primera,5,3432
2014-11-01,corrientes,primera,6,7587
2014-11-01,corrientes,primera,7,8296
2014-11-01,corrientes,primera,8,6726
2014-11-01,corrientes,primera,9,5394
2014-11-01,corrientes,primera,10,6495
2014-11-01,corrientes,primera,11,3128
2014-11-01,corrientes,primera,12,0201
2014-11-01,corrientes,primera,13,9647
2014-11-01,corrientes,primera,14,8148
2014-11-01,corrientes,primera,15,0006
2014-11-01,corrientes,primera,16,0206
2014-11-01,corrientes,primera,17,1105
2014-11-01,corrientes,primera,18,8309
2014-11-01,corrientes,primera,19,4498
2014-11-01,corrientes,primera,20,5405
2014-11-01,corrientes,primera,Letras,- - - 
2014-11-03,corrientes,primera,1,2409
2014-11-03,corrientes,primera,2,1559
2014-11-03,corrientes,primera,3,2721
2014-11-03,corrientes,primera,4,6214
2014-11-03,corrientes,primera,5,7413
2014-11-03,corrientes,primera,6,5231
2014-11-03,corrientes,primera,7,2306
2014-11-03,corrientes,primera,8,4952
2014-11-03,corrientes,primera,9,1879
2014-11-03,corrientes,primera,10,2100
2014-11-03,corrientes,primera,11,4678
2014-11-03,corrientes,primera,12,7797
2014-11-03,corrientes,primera,13,7850
2014-11-03,corrientes,primera,14,1222
2014-11-03,corrientes,primera,15,5758
2014-11-03,corrientes,primera,16,0095
2014-11-03,corrientes,primera,17,8744
2014-11-03,corrientes,primera,18,7044
2014-11-03,corrientes,primera,19,8907
2014-11-03,corrientes,primera,20,8879
2014-11-03,corrientes,primera,Letras,- - - 
2014-11-04,corrientes,primera,1,7483
2014-11-04,corrientes,primera,2,7666
2014-11-04,corrientes,primera,3,1409
2014-11-04,corrientes,primera,4,5206
2014-11-04,corrientes,primera,5,3807
2014-11-04,corrientes,primera,6,4755
2014-11-04,corrientes,primera,7,5308
