date,quiniela,period,position,result
2014-11-03,mendoza,matutina, 1,7717
2014-11-03,mendoza,matutina,2,9554
2014-11-03,mendoza,matutina,3,6786
2014-11-03,mendoza,matutina,4,7797
2014-11-03,mendoza,matutina,5,5823
2014-11-03,mendoza,matutina,6,3695
2014-11-03,mendoza,matutina,7,2122
2014-11-03,mendoza,matutina,8,5056
2014-11-03,mendoza,matutina,9,1523
2014-11-03,mendoza,matutina,10,0074
2014-11-03,mendoza,matutina,11,5927
2014-11-03,mendoza,matutina,12,7543
2014-11-03,mendoza,matutina,13,7474
2014-11-03,mendoza,matutina,14,8516
2014-11-03,mendoza,matutina,15,9598
2014-11-03,mendoza,matutina,16,2964
2014-11-03,mendoza,matutina,17,7958
2014-11-03,mendoza,matutina,18,7196
2014-11-03,mendoza,matutina,19,5851
2014-11-03,mendoza,matutina,20,2722
2014-11-03,mendoza,matutina,Letras,- - - 
2014-11-04,mendoza,matutina, 1,1849
2014-11-04,mendoza,matutina,2,0358
2014-11-04,mendoza,matutina,3,8424
2014-11-04,mendoza,matutina,4,4033
2014-11-04,mendoza,matutina,5,7747
2014-11-04,mendoza,matutina,6,9753
2014-11-04,mendoza,matutina,7,8294
2014-11-04,mendoza,matutina,8,8494
2014-11-04,mendoza,matutina,9,0125
2014-11-04,mendoza,matutina,10,1079
2014-11-04,mendoza,matutina,11,0342
2014-11-04,mendoza,matutina,12,2425
2014-11-04,mendoza,matutina,13,7214
2014-11-04,mendoza,matutina,14,6689
2014-11-04,mendoza,matutina,15,5227
2014-11-04,mendoza,matutina,16,7338
2014-11-04,mendoza,matutina,17,6519
2014-11-04,mendoza,matutina,18,1185
2014-11-04,mendoza,matutina,19,6139
2014-11-04,mendoza,matutina,20,4569
2014-11-04,mendoza,matutina,Letras,- - - 
2014-11-05,mendoza,matutina, 1,0920
2014-11-05,mendoza,matutina,2,0050
2014-11-05,mendoza,matutina,3,0543
2014-11-05,mendoza,matutina,4,0580
2014-11-05,mendoza,matutina,5,0109
2014-11-05,mendoza,matutina,6,0770
2014-11-05,mendoza,matutina,7,0110
2014-11-05,mendoza,matutina,8,0424
2014-11-05,mendoza,matutina,9,0207
2014-11-05,mendoza,matutina,10,0752
2014-11-05,mendoza,matutina,11,0018
2014-11-05,mendoza,matutina,12,2896
2014-11-05,mendoza,matutina,13,5642
2014-11-05,mendoza,matutina,14,0627
2014-11-05,mendoza,matutina,15,0322
2014-11-05,mendoza,matutina,16,3545
2014-11-05,mendoza,matutina,17,1487
2014-11-05,mendoza,matutina,18,7633
2014-11-05,mendoza,matutina,19,0449
2014-11-05,mendoza,matutina,20,1949
2014-11-05,mendoza,matutina,Letras,- - - 
2014-11-06,mendoza,matutina, 1,3341
2014-11-06,mendoza,matutina,2,4927
2014-11-06,mendoza,matutina,3,9461
2014-11-06,mendoza,matutina,4,2947
2014-11-06,mendoza,matutina,5,5199
2014-11-06,mendoza,matutina,6,1408
2014-11-06,mendoza,matutina,7,7420
2014-11-06,mendoza,matutina,8,6578
2014-11-06,mendoza,matutina,9,4590
2014-11-06,mendoza,matutina,10,3466
2014-11-06,mendoza,matutina,11,7690
2014-11-06,mendoza,matutina,12,4733
2014-11-06,mendoza,matutina,13,1924
2014-11-06,mendoza,matutina,14,9375
2014-11-06,mendoza,matutina,15,9067
2014-11-06,mendoza,matutina,16,7628
2014-11-06,mendoza,matutina,17,8342
2014-11-06,mendoza,matutina,18,7393
2014-11-06,mendoza,matutina,19,4692
2014-11-06,mendoza,matutina,20,8100
2014-11-06,mendoza,matutina,Letras,- - - 
2014-11-07,mendoza,matutina, 1,6631
2014-11-07,mendoza,matutina,2,5748
2014-11-07,mendoza,matutina,3,5995
2014-11-07,mendoza,matutina,4,0659
2014-11-07,mendoza,matutina,5,7621
2014-11-07,mendoza,matutina,6,4249
2014-11-07,mendoza,matutina,7,5295
2014-11-07,mendoza,matutina,8,6291
2014-11-07,mendoza,matutina,9,0698
2014-11-07,mendoza,matutina,10,3699
2014-11-07,mendoza,matutina,11,2889
2014-11-07,mendoza,matutina,12,8225
2014-11-07,mendoza,matutina,13,0689
2014-11-07,mendoza,matutina,14,1370
2014-11-07,mendoza,matutina,15,9798
2014-11-07,mendoza,matutina,16,5784
2014-11-07,mendoza,matutina,17,9289
2014-11-07,mendoza,matutina,18,3228
2014-11-07,mendoza,matutina,19,3008
2014-11-07,mendoza,matutina,20,7193
2014-11-07,mendoza,matutina,Letras,- - - 
2014-11-08,mendoza,matutina, 1,5222
2014-11-08,mendoza,matutina,2,7583
2014-11-08,mendoza,matutina,3,2633
2014-11-08,mendoza,matutina,4,6519
2014-11-08,mendoza,matutina,5,0314
2014-11-08,mendoza,matutina,6,6676
2014-11-08,mendoza,matutina,7,2488
2014-11-08,mendoza,matutina,8,3450
2014-11-08,mendoza,matutina,9,6757
2014-11-08,mendoza,matutina,10,0699
2014-11-08,mendoza,matutina,11,9653
2014-11-08,mendoza,matutina,12,8305
2014-11-08,mendoza,matutina,13,0890
2014-11-08,mendoza,matutina,14,6423
2014-11-08,mendoza,matutina,15,7915
2014-11-08,mendoza,matutina,16,9448
2014-11-08,mendoza,matutina,17,7399
2014-11-08,mendoza,matutina,18,9610
2014-11-08,mendoza,matutina,19,6715
2014-11-08,mendoza,matutina,20,8723
2014-11-08,mendoza,matutina,Letras,- - - 
2014-11-10,mendoza,matutina, 1,6691
2014-11-10,mendoza,matutina,2,5067
2014-11-10,mendoza,matutina,3,5495
2014-11-10,mendoza,matutina,4,1219
2014-11-10,mendoza,matutina,5,7723
2014-11-10,mendoza,matutina,6,5659
2014-11-10,mendoza,matutina,7,6443
2014-11-10,mendoza,matutina,8,1288
2014-11-10,mendoza,matutina,9,4783
2014-11-10,mendoza,matutina,10,9113
2014-11-10,mendoza,matutina,11,4170
2014-11-10,mendoza,matutina,12,3359
2014-11-10,mendoza,matutina,13,0930
2014-11-10,mendoza,matutina,14,2962
2014-11-10,mendoza,matutina,15,5221
2014-11-10,mendoza,matutina,16,6245
2014-11-10,mendoza,matutina,17,0658
2014-11-10,mendoza,matutina,18,7809
2014-11-10,mendoza,matutina,19,3673
2014-11-10,mendoza,matutina,20,3455
2014-11-10,mendoza,matutina,Letras,- - - 
2014-11-11,mendoza,matutina, 1,6045
2014-11-11,mendoza,matutina,2,3863
2014-11-11,mendoza,matutina,3,9906
2014-11-11,mendoza,matutina,4,4036
2014-11-11,mendoza,matutina,5,3178
2014-11-11,mendoza,matutina,6,1974
2014-11-11,mendoza,matutina,7,8965
2014-11-11,mendoza,matutina,8,3214
2014-11-11,mendoza,matutina,9,2694
2014-11-11,mendoza,matutina,10,0030
