date,quiniela,period,position,result
2018-05-23,mendoza,primera,1,2934
2018-05-23,mendoza,primera,2,7292
2018-05-23,mendoza,primera,3,4070
2018-05-23,mendoza,primera,4,7091
2018-05-23,mendoza,primera,5,8898
2018-05-23,mendoza,primera,6,2329
2018-05-23,mendoza,primera,7,4944
2018-05-23,mendoza,primera,8,0244
2018-05-23,mendoza,primera,9,6227
2018-05-23,mendoza,primera,10,8045
2018-05-23,mendoza,primera,11,6869
2018-05-23,mendoza,primera,12,4988
2018-05-23,mendoza,primera,13,7320
2018-05-23,mendoza,primera,14,2921
2018-05-23,mendoza,primera,15,1732
2018-05-23,mendoza,primera,16,5845
2018-05-23,mendoza,primera,17,5469
2018-05-23,mendoza,primera,18,4857
2018-05-23,mendoza,primera,19,5943
2018-05-23,mendoza,primera,20,8441
2018-05-23,mendoza,primera,Letras,- - - 
2018-05-24,mendoza,primera,1,3917
2018-05-24,mendoza,primera,2,9245
2018-05-24,mendoza,primera,3,4470
2018-05-24,mendoza,primera,4,5327
2018-05-24,mendoza,primera,5,0526
2018-05-24,mendoza,primera,6,8538
2018-05-24,mendoza,primera,7,9843
2018-05-24,mendoza,primera,8,0539
2018-05-24,mendoza,primera,9,6134
2018-05-24,mendoza,primera,10,9616
2018-05-24,mendoza,primera,11,2927
2018-05-24,mendoza,primera,12,1597
2018-05-24,mendoza,primera,13,0649
2018-05-24,mendoza,primera,14,2833
2018-05-24,mendoza,primera,15,0600
2018-05-24,mendoza,primera,16,1524
2018-05-24,mendoza,primera,17,8349
2018-05-24,mendoza,primera,18,9446
2018-05-24,mendoza,primera,19,0828
2018-05-24,mendoza,primera,20,5704
2018-05-24,mendoza,primera,Letras,- - - 
2018-05-28,mendoza,primera,1,5485
2018-05-28,mendoza,primera,2,6481
2018-05-28,mendoza,primera,3,1176
2018-05-28,mendoza,primera,4,6035
2018-05-28,mendoza,primera,5,9510
2018-05-28,mendoza,primera,6,0006
2018-05-28,mendoza,primera,7,0004
2018-05-28,mendoza,primera,8,9336
2018-05-28,mendoza,primera,9,0303
2018-05-28,mendoza,primera,10,6823
2018-05-28,mendoza,primera,11,8039
2018-05-28,mendoza,primera,12,5414
2018-05-28,mendoza,primera,13,0431
2018-05-28,mendoza,primera,14,6427
2018-05-28,mendoza,primera,15,4184
2018-05-28,mendoza,primera,16,5084
2018-05-28,mendoza,primera,17,9254
2018-05-28,mendoza,primera,18,6747
2018-05-28,mendoza,primera,19,3392
2018-05-28,mendoza,primera,20,0116
2018-05-28,mendoza,primera,Letras,- - - 
2018-05-29,mendoza,primera,1,1867
2018-05-29,mendoza,primera,2,0605
2018-05-29,mendoza,primera,3,8951
2018-05-29,mendoza,primera,4,9762
2018-05-29,mendoza,primera,5,7799
2018-05-29,mendoza,primera,6,1533
2018-05-29,mendoza,primera,7,3608
2018-05-29,mendoza,primera,8,1088
