date,quiniela,period,position,result
2014-11-01,misiones,matutina, 1,4013
2014-11-01,misiones,matutina,2,0770
2014-11-01,misiones,matutina,3,8992
2014-11-01,misiones,matutina,4,4680
2014-11-01,misiones,matutina,5,3650
2014-11-01,misiones,matutina,6,6922
2014-11-01,misiones,matutina,7,5700
2014-11-01,misiones,matutina,8,0528
2014-11-01,misiones,matutina,9,6945
2014-11-01,misiones,matutina,10,2630
2014-11-01,misiones,matutina,11,4784
2014-11-01,misiones,matutina,12,9494
2014-11-01,misiones,matutina,13,4328
2014-11-01,misiones,matutina,14,9352
2014-11-01,misiones,matutina,15,5767
2014-11-01,misiones,matutina,16,2227
2014-11-01,misiones,matutina,17,7770
2014-11-01,misiones,matutina,18,3734
2014-11-01,misiones,matutina,19,2901
2014-11-01,misiones,matutina,20,7606
2014-11-01,misiones,matutina,Letras,- - - 
2014-11-03,misiones,matutina, 1,7050
2014-11-03,misiones,matutina,2,7910
2014-11-03,misiones,matutina,3,8181
2014-11-03,misiones,matutina,4,8823
2014-11-03,misiones,matutina,5,2436
2014-11-03,misiones,matutina,6,5522
2014-11-03,misiones,matutina,7,5038
2014-11-03,misiones,matutina,8,1874
2014-11-03,misiones,matutina,9,2223
2014-11-03,misiones,matutina,10,4317
2014-11-03,misiones,matutina,11,5013
2014-11-03,misiones,matutina,12,0576
2014-11-03,misiones,matutina,13,0396
2014-11-03,misiones,matutina,14,8447
2014-11-03,misiones,matutina,15,1749
2014-11-03,misiones,matutina,16,3615
2014-11-03,misiones,matutina,17,4083
2014-11-03,misiones,matutina,18,6966
2014-11-03,misiones,matutina,19,9092
2014-11-03,misiones,matutina,20,1845
2014-11-03,misiones,matutina,Letras,- - - 
2014-11-04,misiones,matutina, 1,6487
2014-11-04,misiones,matutina,2,7002
2014-11-04,misiones,matutina,3,9296
2014-11-04,misiones,matutina,4,2799
2014-11-04,misiones,matutina,5,8778
2014-11-04,misiones,matutina,6,4559
2014-11-04,misiones,matutina,7,5188
2014-11-04,misiones,matutina,8,6602
2014-11-04,misiones,matutina,9,9615
2014-11-04,misiones,matutina,10,5223
2014-11-04,misiones,matutina,11,4150
2014-11-04,misiones,matutina,12,6329
2014-11-04,misiones,matutina,13,0055
2014-11-04,misiones,matutina,14,3070
2014-11-04,misiones,matutina,15,5410
2014-11-04,misiones,matutina,16,6942
2014-11-04,misiones,matutina,17,1380
2014-11-04,misiones,matutina,18,9272
2014-11-04,misiones,matutina,19,6551
2014-11-04,misiones,matutina,20,6237
2014-11-04,misiones,matutina,Letras,- - - 
2014-11-05,misiones,matutina, 1,3826
2014-11-05,misiones,matutina,2,1732
2014-11-05,misiones,matutina,3,6392
2014-11-05,misiones,matutina,4,0958
2014-11-05,misiones,matutina,5,5622
2014-11-05,misiones,matutina,6,2618
2014-11-05,misiones,matutina,7,2265
2014-11-05,misiones,matutina,8,8041
2014-11-05,misiones,matutina,9,7513
2014-11-05,misiones,matutina,10,1245
2014-11-05,misiones,matutina,11,7561
2014-11-05,misiones,matutina,12,6711
2014-11-05,misiones,matutina,13,9976
2014-11-05,misiones,matutina,14,5165
2014-11-05,misiones,matutina,15,3202
2014-11-05,misiones,matutina,16,1746
2014-11-05,misiones,matutina,17,1827
2014-11-05,misiones,matutina,18,6657
2014-11-05,misiones,matutina,19,7741
2014-11-05,misiones,matutina,20,1356
2014-11-05,misiones,matutina,Letras,- - - 
2014-11-06,misiones,matutina, 1,9355
2014-11-06,misiones,matutina,2,9290
2014-11-06,misiones,matutina,3,2181
2014-11-06,misiones,matutina,4,7985
2014-11-06,misiones,matutina,5,0309
2014-11-06,misiones,matutina,6,5750
2014-11-06,misiones,matutina,7,9547
2014-11-06,misiones,matutina,8,6840
2014-11-06,misiones,matutina,9,5697
2014-11-06,misiones,matutina,10,4109
2014-11-06,misiones,matutina,11,4997
2014-11-06,misiones,matutina,12,9300
2014-11-06,misiones,matutina,13,3336
2014-11-06,misiones,matutina,14,3357
2014-11-06,misiones,matutina,15,1858
2014-11-06,misiones,matutina,16,2721
2014-11-06,misiones,matutina,17,0288
2014-11-06,misiones,matutina,18,9383
2014-11-06,misiones,matutina,19,6247
2014-11-06,misiones,matutina,20,0497
2014-11-06,misiones,matutina,Letras,- - - 
2014-11-07,misiones,matutina, 1,3963
2014-11-07,misiones,matutina,2,4862
2014-11-07,misiones,matutina,3,0155
2014-11-07,misiones,matutina,4,1997
2014-11-07,misiones,matutina,5,6263
2014-11-07,misiones,matutina,6,9142
2014-11-07,misiones,matutina,7,3631
2014-11-07,misiones,matutina,8,7110
2014-11-07,misiones,matutina,9,2885
2014-11-07,misiones,matutina,10,7023
2014-11-07,misiones,matutina,11,8437
2014-11-07,misiones,matutina,12,9554
2014-11-07,misiones,matutina,13,4460
2014-11-07,misiones,matutina,14,6808
2014-11-07,misiones,matutina,15,7612
2014-11-07,misiones,matutina,16,0009
2014-11-07,misiones,matutina,17,8943
2014-11-07,misiones,matutina,18,3249
2014-11-07,misiones,matutina,19,5550
2014-11-07,misiones,matutina,20,7435
2014-11-07,misiones,matutina,Letras,- - - 
2014-11-08,misiones,matutina, 1,4681
2014-11-08,misiones,matutina,2,4102
2014-11-08,misiones,matutina,3,4074
2014-11-08,misiones,matutina,4,8255
2014-11-08,misiones,matutina,5,0542
2014-11-08,misiones,matutina,6,3304
2014-11-08,misiones,matutina,7,5762
2014-11-08,misiones,matutina,8,4183
2014-11-08,misiones,matutina,9,2773
2014-11-08,misiones,matutina,10,8914
2014-11-08,misiones,matutina,11,4451
2014-11-08,misiones,matutina,12,6022
2014-11-08,misiones,matutina,13,4092
2014-11-08,misiones,matutina,14,3777
2014-11-08,misiones,matutina,15,6926
2014-11-08,misiones,matutina,16,5183
2014-11-08,misiones,matutina,17,7200
2014-11-08,misiones,matutina,18,0243
2014-11-08,misiones,matutina,19,8656
2014-11-08,misiones,matutina,20,7860
2014-11-08,misiones,matutina,Letras,- - - 
2014-11-10,misiones,matutina, 1,1302
2014-11-10,misiones,matutina,2,9640
2014-11-10,misiones,matutina,3,4898
2014-11-10,misiones,matutina,4,1847
2014-11-10,misiones,matutina,5,6078
2014-11-10,misiones,matutina,6,3418
2014-11-10,misiones,matutina,7,0028
2014-11-10,misiones,matutina,8,5628
2014-11-10,misiones,matutina,9,9428
2014-11-10,misiones,matutina,10,7534
2014-11-10,misiones,matutina,11,3155
2014-11-10,misiones,matutina,12,5010
2014-11-10,misiones,matutina,13,1801
2014-11-10,misiones,matutina,14,7238
2014-11-10,misiones,matutina,15,6655
2014-11-10,misiones,matutina,16,4172
2014-11-10,misiones,matutina,17,0031
2014-11-10,misiones,matutina,18,9403
2014-11-10,misiones,matutina,19,2860
2014-11-10,misiones,matutina,20,6692
2014-11-10,misiones,matutina,Letras,- - - 
2014-11-11,misiones,matutina, 1,3595
2014-11-11,misiones,matutina,2,2279
2014-11-11,misiones,matutina,3,0630
2014-11-11,misiones,matutina,4,8610
2014-11-11,misiones,matutina,5,6163
2014-11-11,misiones,matutina,6,5743
2014-11-11,misiones,matutina,7,5393
2014-11-11,misiones,matutina,8,0229
2014-11-11,misiones,matutina,9,7145
2014-11-11,misiones,matutina,10,8866
2014-11-11,misiones,matutina,11,5365
2014-11-11,misiones,matutina,12,3756
2014-11-11,misiones,matutina,13,6919
2014-11-11,misiones,matutina,14,1870
2014-11-11,misiones,matutina,15,7051
2014-11-11,misiones,matutina,16,7746
2014-11-11,misiones,matutina,17,3018
2014-11-11,misiones,matutina,18,1813
2014-11-11,misiones,matutina,19,9818
2014-11-11,misiones,matutina,20,8094
2014-11-11,misiones,matutina,Letras,- - - 
2014-11-12,misiones,matutina, 1,6640
2014-11-12,misiones,matutina,2,0003
2014-11-12,misiones,matutina,3,7213
2014-11-12,misiones,matutina,4,5157
2014-11-12,misiones,matutina,5,2229
2014-11-12,misiones,matutina,6,2899
2014-11-12,misiones,matutina,7,5419
2014-11-12,misiones,matutina,8,3816
2014-11-12,misiones,matutina,9,8262
2014-11-12,misiones,matutina,10,0760
2014-11-12,misiones,matutina,11,7154
2014-11-12,misiones,matutina,12,5633
2014-11-12,misiones,matutina,13,3575
2014-11-12,misiones,matutina,14,6693
2014-11-12,misiones,matutina,15,5269
2014-11-12,misiones,matutina,16,1007
2014-11-12,misiones,matutina,17,5904
2014-11-12,misiones,matutina,18,6832
2014-11-12,misiones,matutina,19,4854
2014-11-12,misiones,matutina,20,9587
2014-11-12,misiones,matutina,Letras,- - - 
2014-11-13,misiones,matutina, 1,5093
2014-11-13,misiones,matutina,2,7024
2014-11-13,misiones,matutina,3,2878
2014-11-13,misiones,matutina,4,4607
2014-11-13,misiones,matutina,5,0750
2014-11-13,misiones,matutina,6,7387
2014-11-13,misiones,matutina,7,2627
2014-11-13,misiones,matutina,8,4176
2014-11-13,misiones,matutina,9,5903
2014-11-13,misiones,matutina,10,7092
2014-11-13,misiones,matutina,11,2184
2014-11-13,misiones,matutina,12,2979
2014-11-13,misiones,matutina,13,8411
2014-11-13,misiones,matutina,14,1476
2014-11-13,misiones,matutina,15,8484
2014-11-13,misiones,matutina,16,4570
2014-11-13,misiones,matutina,17,9539
2014-11-13,misiones,matutina,18,9871
2014-11-13,misiones,matutina,19,6265
2014-11-13,misiones,matutina,20,6431
2014-11-13,misiones,matutina,Letras,- - - 
2014-11-14,misiones,matutina, 1,1707
2014-11-14,misiones,matutina,2,7125
2014-11-14,misiones,matutina,3,5274
2014-11-14,misiones,matutina,4,9647
2014-11-14,misiones,matutina,5,5789
2014-11-14,misiones,matutina,6,2547
2014-11-14,misiones,matutina,7,5247
2014-11-14,misiones,matutina,8,9164
2014-11-14,misiones,matutina,9,7645
2014-11-14,misiones,matutina,10,8494
2014-11-14,misiones,matutina,11,1692
2014-11-14,misiones,matutina,12,9634
2014-11-14,misiones,matutina,13,5259
2014-11-14,misiones,matutina,14,3532
2014-11-14,misiones,matutina,15,4884
2014-11-14,misiones,matutina,16,1379
2014-11-14,misiones,matutina,17,3180
2014-11-14,misiones,matutina,18,4534
2014-11-14,misiones,matutina,19,9388
2014-11-14,misiones,matutina,20,3339
2014-11-14,misiones,matutina,Letras,- - - 
2014-11-15,misiones,matutina, 1,1338
2014-11-15,misiones,matutina,2,5893
2014-11-15,misiones,matutina,3,8483
2014-11-15,misiones,matutina,4,3256
2014-11-15,misiones,matutina,5,5548
2014-11-15,misiones,matutina,6,8217
2014-11-15,misiones,matutina,7,5873
2014-11-15,misiones,matutina,8,2541
2014-11-15,misiones,matutina,9,9360
2014-11-15,misiones,matutina,10,0033
2014-11-15,misiones,matutina,11,9562
2014-11-15,misiones,matutina,12,7754
2014-11-15,misiones,matutina,13,4423
2014-11-15,misiones,matutina,14,7901
2014-11-15,misiones,matutina,15,1277
2014-11-15,misiones,matutina,16,5940
2014-11-15,misiones,matutina,17,4098
2014-11-15,misiones,matutina,18,0821
2014-11-15,misiones,matutina,19,4337
2014-11-15,misiones,matutina,20,6613
2014-11-15,misiones,matutina,Letras,- - - 
2014-11-17,misiones,matutina, 1,6383
2014-11-17,misiones,matutina,2,8657
2014-11-17,misiones,matutina,3,0100
2014-11-17,misiones,matutina,4,9133
2014-11-17,misiones,matutina,5,3178
2014-11-17,misiones,matutina,6,9602
2014-11-17,misiones,matutina,7,7932
2014-11-17,misiones,matutina,8,6024
2014-11-17,misiones,matutina,9,2904
