date,quiniela,period,position,result
2014-11-01,misiones,nocturna, 1,8547
2014-11-01,misiones,nocturna,2,0421
2014-11-01,misiones,nocturna,3,2025
2014-11-01,misiones,nocturna,4,9333
2014-11-01,misiones,nocturna,5,6772
2014-11-01,misiones,nocturna,6,6059
2014-11-01,misiones,nocturna,7,2789
2014-11-01,misiones,nocturna,8,5541
2014-11-01,misiones,nocturna,9,4866
2014-11-01,misiones,nocturna,10,7988
2014-11-01,misiones,nocturna,11,3132
2014-11-01,misiones,nocturna,12,1948
2014-11-01,misiones,nocturna,13,2722
2014-11-01,misiones,nocturna,14,1827
2014-11-01,misiones,nocturna,15,9859
2014-11-01,misiones,nocturna,16,3725
2014-11-01,misiones,nocturna,17,0581
2014-11-01,misiones,nocturna,18,2116
2014-11-01,misiones,nocturna,19,2042
2014-11-01,misiones,nocturna,20,9884
2014-11-01,misiones,nocturna,Letras,- - -
2014-11-03,misiones,nocturna, 1,7804
2014-11-03,misiones,nocturna,2,3033
2014-11-03,misiones,nocturna,3,9735
2014-11-03,misiones,nocturna,4,1452
2014-11-03,misiones,nocturna,5,8357
2014-11-03,misiones,nocturna,6,2723
2014-11-03,misiones,nocturna,7,0647
2014-11-03,misiones,nocturna,8,4993
2014-11-03,misiones,nocturna,9,8961
2014-11-03,misiones,nocturna,10,8297
2014-11-03,misiones,nocturna,11,7703
2014-11-03,misiones,nocturna,12,3113
2014-11-03,misiones,nocturna,13,2313
2014-11-03,misiones,nocturna,14,4097
2014-11-03,misiones,nocturna,15,3118
2014-11-03,misiones,nocturna,16,7110
2014-11-03,misiones,nocturna,17,4436
2014-11-03,misiones,nocturna,18,7977
2014-11-03,misiones,nocturna,19,2748
2014-11-03,misiones,nocturna,20,9824
2014-11-03,misiones,nocturna,Letras,- - -
2014-11-04,misiones,nocturna, 1,3187
2014-11-04,misiones,nocturna,2,4129
2014-11-04,misiones,nocturna,3,0316
2014-11-04,misiones,nocturna,4,4942
2014-11-04,misiones,nocturna,5,4174
2014-11-04,misiones,nocturna,6,6783
2014-11-04,misiones,nocturna,7,7141
2014-11-04,misiones,nocturna,8,8690
2014-11-04,misiones,nocturna,9,3138
2014-11-04,misiones,nocturna,10,2884
