date,quiniela,period,position,result
2014-11-01,misiones,primera,1,0082
2014-11-01,misiones,primera,2,9326
2014-11-01,misiones,primera,3,8032
2014-11-01,misiones,primera,4,0389
2014-11-01,misiones,primera,5,6522
2014-11-01,misiones,primera,6,7186
2014-11-01,misiones,primera,7,8715
2014-11-01,misiones,primera,8,2449
2014-11-01,misiones,primera,9,7493
2014-11-01,misiones,primera,10,3487
2014-11-01,misiones,primera,11,9458
2014-11-01,misiones,primera,12,4898
2014-11-01,misiones,primera,13,5676
2014-11-01,misiones,primera,14,0171
2014-11-01,misiones,primera,15,9365
2014-11-01,misiones,primera,16,2687
2014-11-01,misiones,primera,17,1725
2014-11-01,misiones,primera,18,2049
2014-11-01,misiones,primera,19,9692
2014-11-01,misiones,primera,20,6799
2014-11-01,misiones,primera,Letras,- - - 
2014-11-03,misiones,primera,1,2502
2014-11-03,misiones,primera,2,4947
2014-11-03,misiones,primera,3,7738
2014-11-03,misiones,primera,4,4074
2014-11-03,misiones,primera,5,6893
2014-11-03,misiones,primera,6,4374
2014-11-03,misiones,primera,7,8367
2014-11-03,misiones,primera,8,9039
2014-11-03,misiones,primera,9,8214
2014-11-03,misiones,primera,10,0829
2014-11-03,misiones,primera,11,2798
2014-11-03,misiones,primera,12,7590
2014-11-03,misiones,primera,13,8073
2014-11-03,misiones,primera,14,9429
2014-11-03,misiones,primera,15,5892
2014-11-03,misiones,primera,16,4717
2014-11-03,misiones,primera,17,5257
2014-11-03,misiones,primera,18,6177
2014-11-03,misiones,primera,19,1078
2014-11-03,misiones,primera,20,2690
2014-11-03,misiones,primera,Letras,- - - 
2014-11-04,misiones,primera,1,7218
2014-11-04,misiones,primera,2,6869
2014-11-04,misiones,primera,3,7141
2014-11-04,misiones,primera,4,5238
2014-11-04,misiones,primera,5,8021
2014-11-04,misiones,primera,6,0224
2014-11-04,misiones,primera,7,5318
2014-11-04,misiones,primera,8,9851
2014-11-04,misiones,primera,9,2373
2014-11-04,misiones,primera,10,9424
2014-11-04,misiones,primera,11,1366
2014-11-04,misiones,primera,12,1073
2014-11-04,misiones,primera,13,1012
2014-11-04,misiones,primera,14,6462
2014-11-04,misiones,primera,15,3170
2014-11-04,misiones,primera,16,9840
2014-11-04,misiones,primera,17,3520
2014-11-04,misiones,primera,18,0692
2014-11-04,misiones,primera,19,8133
2014-11-04,misiones,primera,20,5399
2014-11-04,misiones,primera,Letras,- - - 
2014-11-05,misiones,primera,1,3470
2014-11-05,misiones,primera,2,4556
2014-11-05,misiones,primera,3,8097
2014-11-05,misiones,primera,4,6495
2014-11-05,misiones,primera,5,3864
2014-11-05,misiones,primera,6,8730
2014-11-05,misiones,primera,7,8201
2014-11-05,misiones,primera,8,3588
2014-11-05,misiones,primera,9,3218
2014-11-05,misiones,primera,10,9509
2014-11-05,misiones,primera,11,5757
2014-11-05,misiones,primera,12,4697
2014-11-05,misiones,primera,13,4525
2014-11-05,misiones,primera,14,3135
2014-11-05,misiones,primera,15,7574
2014-11-05,misiones,primera,16,6215
2014-11-05,misiones,primera,17,5523
2014-11-05,misiones,primera,18,5934
2014-11-05,misiones,primera,19,6860
2014-11-05,misiones,primera,20,2660
2014-11-05,misiones,primera,Letras,- - - 
2014-11-06,misiones,primera,1,3957
2014-11-06,misiones,primera,2,0843
2014-11-06,misiones,primera,3,5182
2014-11-06,misiones,primera,4,6013
2014-11-06,misiones,primera,5,7134
2014-11-06,misiones,primera,6,9455
2014-11-06,misiones,primera,7,5817
2014-11-06,misiones,primera,8,4652
2014-11-06,misiones,primera,9,1303
2014-11-06,misiones,primera,10,5595
2014-11-06,misiones,primera,11,3974
2014-11-06,misiones,primera,12,1336
2014-11-06,misiones,primera,13,1868
