date,quiniela,period,position,result
2014-11-03,misiones,vespertina, 1,6162
2014-11-03,misiones,vespertina,2,4985
2014-11-03,misiones,vespertina,3,5918
2014-11-03,misiones,vespertina,4,7029
2014-11-03,misiones,vespertina,5,4281
2014-11-03,misiones,vespertina,6,2689
2014-11-03,misiones,vespertina,7,0493
2014-11-03,misiones,vespertina,8,7389
2014-11-03,misiones,vespertina,9,2477
2014-11-03,misiones,vespertina,10,3079
2014-11-03,misiones,vespertina,11,6726
2014-11-03,misiones,vespertina,12,0222
2014-11-03,misiones,vespertina,13,6305
2014-11-03,misiones,vespertina,14,9872
2014-11-03,misiones,vespertina,15,7719
2014-11-03,misiones,vespertina,16,4622
2014-11-03,misiones,vespertina,17,8928
2014-11-03,misiones,vespertina,18,9382
2014-11-03,misiones,vespertina,19,3122
2014-11-03,misiones,vespertina,20,6560
2014-11-03,misiones,vespertina,Letras,- - - 
2014-11-04,misiones,vespertina, 1,9379
2014-11-04,misiones,vespertina,2,0831
2014-11-04,misiones,vespertina,3,5454
2014-11-04,misiones,vespertina,4,1895
2014-11-04,misiones,vespertina,5,6404
2014-11-04,misiones,vespertina,6,5863
2014-11-04,misiones,vespertina,7,3482
2014-11-04,misiones,vespertina,8,5996
2014-11-04,misiones,vespertina,9,6893
2014-11-04,misiones,vespertina,10,4995
2014-11-04,misiones,vespertina,11,0092
2014-11-04,misiones,vespertina,12,2152
2014-11-04,misiones,vespertina,13,2155
2014-11-04,misiones,vespertina,14,3741
2014-11-04,misiones,vespertina,15,4211
2014-11-04,misiones,vespertina,16,3746
2014-11-04,misiones,vespertina,17,0414
2014-11-04,misiones,vespertina,18,0449
2014-11-04,misiones,vespertina,19,8790
2014-11-04,misiones,vespertina,20,1611
2014-11-04,misiones,vespertina,Letras,- - - 
2014-11-05,misiones,vespertina, 1,3829
2014-11-05,misiones,vespertina,2,9898
2014-11-05,misiones,vespertina,3,3224
2014-11-05,misiones,vespertina,4,3251
2014-11-05,misiones,vespertina,5,7645
2014-11-05,misiones,vespertina,6,4616
2014-11-05,misiones,vespertina,7,4662
2014-11-05,misiones,vespertina,8,3221
2014-11-05,misiones,vespertina,9,4031
2014-11-05,misiones,vespertina,10,6203
2014-11-05,misiones,vespertina,11,6357
2014-11-05,misiones,vespertina,12,9367
2014-11-05,misiones,vespertina,13,0238
2014-11-05,misiones,vespertina,14,5126
2014-11-05,misiones,vespertina,15,8597
2014-11-05,misiones,vespertina,16,8563
2014-11-05,misiones,vespertina,17,2932
2014-11-05,misiones,vespertina,18,9904
2014-11-05,misiones,vespertina,19,3306
2014-11-05,misiones,vespertina,20,9727
2014-11-05,misiones,vespertina,Letras,- - - 
2014-11-06,misiones,vespertina, 1,3563
2014-11-06,misiones,vespertina,2,6120
2014-11-06,misiones,vespertina,3,1662
2014-11-06,misiones,vespertina,4,9352
2014-11-06,misiones,vespertina,5,0325
2014-11-06,misiones,vespertina,6,3954
2014-11-06,misiones,vespertina,7,7398
2014-11-06,misiones,vespertina,8,9130
2014-11-06,misiones,vespertina,9,7093
2014-11-06,misiones,vespertina,10,6805
2014-11-06,misiones,vespertina,11,3233
2014-11-06,misiones,vespertina,12,2280
2014-11-06,misiones,vespertina,13,9017
2014-11-06,misiones,vespertina,14,4788
2014-11-06,misiones,vespertina,15,8482
2014-11-06,misiones,vespertina,16,2061
2014-11-06,misiones,vespertina,17,5514
2014-11-06,misiones,vespertina,18,6862
2014-11-06,misiones,vespertina,19,0214
2014-11-06,misiones,vespertina,20,7205
2014-11-06,misiones,vespertina,Letras,- - - 
2014-11-07,misiones,vespertina, 1,4374
2014-11-07,misiones,vespertina,2,8151
2014-11-07,misiones,vespertina,3,8648
2014-11-07,misiones,vespertina,4,2986
2014-11-07,misiones,vespertina,5,6209
2014-11-07,misiones,vespertina,6,2017
2014-11-07,misiones,vespertina,7,0359
2014-11-07,misiones,vespertina,8,5658
2014-11-07,misiones,vespertina,9,6559
2014-11-07,misiones,vespertina,10,7572
2014-11-07,misiones,vespertina,11,9283
2014-11-07,misiones,vespertina,12,6798
2014-11-07,misiones,vespertina,13,6308
2014-11-07,misiones,vespertina,14,4809
2014-11-07,misiones,vespertina,15,5497
2014-11-07,misiones,vespertina,16,2365
2014-11-07,misiones,vespertina,17,6899
2014-11-07,misiones,vespertina,18,2093
2014-11-07,misiones,vespertina,19,1331
2014-11-07,misiones,vespertina,20,6542
2014-11-07,misiones,vespertina,Letras,- - - 
2014-11-10,misiones,vespertina, 1,5695
2014-11-10,misiones,vespertina,2,4053
2014-11-10,misiones,vespertina,3,6149
2014-11-10,misiones,vespertina,4,8684
2014-11-10,misiones,vespertina,5,9405
2014-11-10,misiones,vespertina,6,3279
2014-11-10,misiones,vespertina,7,1315
2014-11-10,misiones,vespertina,8,8417
2014-11-10,misiones,vespertina,9,5162
2014-11-10,misiones,vespertina,10,5330
2014-11-10,misiones,vespertina,11,0115
2014-11-10,misiones,vespertina,12,8473
2014-11-10,misiones,vespertina,13,2307
2014-11-10,misiones,vespertina,14,2075
2014-11-10,misiones,vespertina,15,6263
2014-11-10,misiones,vespertina,16,0294
2014-11-10,misiones,vespertina,17,8396
2014-11-10,misiones,vespertina,18,3144
2014-11-10,misiones,vespertina,19,3668
2014-11-10,misiones,vespertina,20,7075
2014-11-10,misiones,vespertina,Letras,- - - 
2014-11-11,misiones,vespertina, 1,7034
2014-11-11,misiones,vespertina,2,2264
2014-11-11,misiones,vespertina,3,4867
2014-11-11,misiones,vespertina,4,9371
2014-11-11,misiones,vespertina,5,0687
2014-11-11,misiones,vespertina,6,5688
2014-11-11,misiones,vespertina,7,9748
2014-11-11,misiones,vespertina,8,9849
2014-11-11,misiones,vespertina,9,7221
2014-11-11,misiones,vespertina,10,5498
2014-11-11,misiones,vespertina,11,4835
2014-11-11,misiones,vespertina,12,5384
2014-11-11,misiones,vespertina,13,9758
2014-11-11,misiones,vespertina,14,7832
2014-11-11,misiones,vespertina,15,7062
2014-11-11,misiones,vespertina,16,7297
2014-11-11,misiones,vespertina,17,4347
2014-11-11,misiones,vespertina,18,4393
2014-11-11,misiones,vespertina,19,3548
2014-11-11,misiones,vespertina,20,2892
2014-11-11,misiones,vespertina,Letras,- - - 
2014-11-12,misiones,vespertina, 1,7052
2014-11-12,misiones,vespertina,2,7414
2014-11-12,misiones,vespertina,3,4895
2014-11-12,misiones,vespertina,4,0132
2014-11-12,misiones,vespertina,5,3122
2014-11-12,misiones,vespertina,6,4977
2014-11-12,misiones,vespertina,7,0009
2014-11-12,misiones,vespertina,8,5962
2014-11-12,misiones,vespertina,9,4023
2014-11-12,misiones,vespertina,10,5466
2014-11-12,misiones,vespertina,11,6193
2014-11-12,misiones,vespertina,12,2285
2014-11-12,misiones,vespertina,13,1512
2014-11-12,misiones,vespertina,14,5828
2014-11-12,misiones,vespertina,15,8573
2014-11-12,misiones,vespertina,16,9343
2014-11-12,misiones,vespertina,17,8171
2014-11-12,misiones,vespertina,18,1235
2014-11-12,misiones,vespertina,19,5995
2014-11-12,misiones,vespertina,20,5632
2014-11-12,misiones,vespertina,Letras,- - - 
2014-11-13,misiones,vespertina, 1,1075
2014-11-13,misiones,vespertina,2,4680
2014-11-13,misiones,vespertina,3,0166
2014-11-13,misiones,vespertina,4,2811
2014-11-13,misiones,vespertina,5,0061
2014-11-13,misiones,vespertina,6,6009
2014-11-13,misiones,vespertina,7,6216
2014-11-13,misiones,vespertina,8,7963
2014-11-13,misiones,vespertina,9,3470
2014-11-13,misiones,vespertina,10,5304
2014-11-13,misiones,vespertina,11,0668
2014-11-13,misiones,vespertina,12,0254
2014-11-13,misiones,vespertina,13,8232
2014-11-13,misiones,vespertina,14,3156
2014-11-13,misiones,vespertina,15,1816
2014-11-13,misiones,vespertina,16,7873
2014-11-13,misiones,vespertina,17,8338
2014-11-13,misiones,vespertina,18,3386
2014-11-13,misiones,vespertina,19,5148
2014-11-13,misiones,vespertina,20,6331
2014-11-13,misiones,vespertina,Letras,- - - 
2014-11-14,misiones,vespertina, 1,6353
2014-11-14,misiones,vespertina,2,0242
