date,quiniela,period,position,result
2014-11-01,san-luis,matutina, 1,2390
2014-11-01,san-luis,matutina,2,3199
2014-11-01,san-luis,matutina,3,3868
2014-11-01,san-luis,matutina,4,5520
2014-11-01,san-luis,matutina,5,4167
2014-11-01,san-luis,matutina,6,0249
2014-11-01,san-luis,matutina,7,1892
2014-11-01,san-luis,matutina,8,7382
2014-11-01,san-luis,matutina,9,1374
2014-11-01,san-luis,matutina,10,5103
2014-11-01,san-luis,matutina,11,8827
2014-11-01,san-luis,matutina,12,1564
2014-11-01,san-luis,matutina,13,6187
2014-11-01,san-luis,matutina,14,7572
2014-11-01,san-luis,matutina,15,1067
2014-11-01,san-luis,matutina,16,3723
2014-11-01,san-luis,matutina,17,0543
2014-11-01,san-luis,matutina,18,7642
2014-11-01,san-luis,matutina,19,4535
2014-11-01,san-luis,matutina,20,3971
2014-11-01,san-luis,matutina,Letras,- - - 
2014-11-03,san-luis,matutina, 1,4358
2014-11-03,san-luis,matutina,2,4733
2014-11-03,san-luis,matutina,3,5511
2014-11-03,san-luis,matutina,4,8851
2014-11-03,san-luis,matutina,5,6691
2014-11-03,san-luis,matutina,6,9727
2014-11-03,san-luis,matutina,7,5139
2014-11-03,san-luis,matutina,8,1066
2014-11-03,san-luis,matutina,9,0079
2014-11-03,san-luis,matutina,10,6225
2014-11-03,san-luis,matutina,11,9362
2014-11-03,san-luis,matutina,12,6728
2014-11-03,san-luis,matutina,13,1762
2014-11-03,san-luis,matutina,14,2247
2014-11-03,san-luis,matutina,15,4022
2014-11-03,san-luis,matutina,16,0780
2014-11-03,san-luis,matutina,17,1535
2014-11-03,san-luis,matutina,18,5766
2014-11-03,san-luis,matutina,19,3531
2014-11-03,san-luis,matutina,20,3728
2014-11-03,san-luis,matutina,Letras,- - - 
2014-11-04,san-luis,matutina, 1,0482
2014-11-04,san-luis,matutina,2,1040
2014-11-04,san-luis,matutina,3,8174
2014-11-04,san-luis,matutina,4,7524
2014-11-04,san-luis,matutina,5,3552
2014-11-04,san-luis,matutina,6,3407
2014-11-04,san-luis,matutina,7,0125
2014-11-04,san-luis,matutina,8,4985
2014-11-04,san-luis,matutina,9,0095
2014-11-04,san-luis,matutina,10,8287
2014-11-04,san-luis,matutina,11,6511
2014-11-04,san-luis,matutina,12,7102
2014-11-04,san-luis,matutina,13,2034
2014-11-04,san-luis,matutina,14,9913
2014-11-04,san-luis,matutina,15,7788
