date,quiniela,period,position,result
2014-11-01,san-luis,primera,1,7921
2014-11-01,san-luis,primera,2,1792
2014-11-01,san-luis,primera,3,5625
2014-11-01,san-luis,primera,4,8375
2014-11-01,san-luis,primera,5,8967
2014-11-01,san-luis,primera,6,6177
2014-11-01,san-luis,primera,7,8298
2014-11-01,san-luis,primera,8,1192
2014-11-01,san-luis,primera,9,3260
2014-11-01,san-luis,primera,10,1944
2014-11-01,san-luis,primera,11,9241
2014-11-01,san-luis,primera,12,4269
2014-11-01,san-luis,primera,13,2456
2014-11-01,san-luis,primera,14,0010
2014-11-01,san-luis,primera,15,5103
2014-11-01,san-luis,primera,16,7910
2014-11-01,san-luis,primera,17,8503
2014-11-01,san-luis,primera,18,1878
2014-11-01,san-luis,primera,19,9717
2014-11-01,san-luis,primera,20,2490
2014-11-01,san-luis,primera,Letras,- - - 
2014-11-03,san-luis,primera,1,0568
2014-11-03,san-luis,primera,2,1107
2014-11-03,san-luis,primera,3,9438
2014-11-03,san-luis,primera,4,1814
2014-11-03,san-luis,primera,5,9063
2014-11-03,san-luis,primera,6,2225
2014-11-03,san-luis,primera,7,5347
2014-11-03,san-luis,primera,8,0590
2014-11-03,san-luis,primera,9,8766
2014-11-03,san-luis,primera,10,0724
2014-11-03,san-luis,primera,11,6588
2014-11-03,san-luis,primera,12,7333
2014-11-03,san-luis,primera,13,4895
2014-11-03,san-luis,primera,14,8389
2014-11-03,san-luis,primera,15,3606
2014-11-03,san-luis,primera,16,6753
2014-11-03,san-luis,primera,17,5304
2014-11-03,san-luis,primera,18,3164
2014-11-03,san-luis,primera,19,5726
2014-11-03,san-luis,primera,20,1788
2014-11-03,san-luis,primera,Letras,- - - 
2014-11-04,san-luis,primera,1,7640
2014-11-04,san-luis,primera,2,8104
2014-11-04,san-luis,primera,3,2150
2014-11-04,san-luis,primera,4,7516
2014-11-04,san-luis,primera,5,3998
2014-11-04,san-luis,primera,6,1433
2014-11-04,san-luis,primera,7,3920
2014-11-04,san-luis,primera,8,5422
2014-11-04,san-luis,primera,9,8854
2014-11-04,san-luis,primera,10,9853
2014-11-04,san-luis,primera,11,0932
2014-11-04,san-luis,primera,12,1737
2014-11-04,san-luis,primera,13,6583
2014-11-04,san-luis,primera,14,5739
2014-11-04,san-luis,primera,15,3326
2014-11-04,san-luis,primera,16,0716
2014-11-04,san-luis,primera,17,7797
2014-11-04,san-luis,primera,18,2516
2014-11-04,san-luis,primera,19,3205
2014-11-04,san-luis,primera,20,4965
2014-11-04,san-luis,primera,Letras,- - - 
2014-11-05,san-luis,primera,1,3145
2014-11-05,san-luis,primera,2,1760
2014-11-05,san-luis,primera,3,3802
2014-11-05,san-luis,primera,4,7304
2014-11-05,san-luis,primera,5,1968
2014-11-05,san-luis,primera,6,2502
2014-11-05,san-luis,primera,7,2787
2014-11-05,san-luis,primera,8,1372
2014-11-05,san-luis,primera,9,3799
2014-11-05,san-luis,primera,10,5005
2014-11-05,san-luis,primera,11,2880
2014-11-05,san-luis,primera,12,1458
2014-11-05,san-luis,primera,13,6180
2014-11-05,san-luis,primera,14,0967
2014-11-05,san-luis,primera,15,7077
2014-11-05,san-luis,primera,16,2268
2014-11-05,san-luis,primera,17,0439
2014-11-05,san-luis,primera,18,5128
2014-11-05,san-luis,primera,19,8491
2014-11-05,san-luis,primera,20,6188
2014-11-05,san-luis,primera,Letras,- - - 
2014-11-06,san-luis,primera,1,2927
2014-11-06,san-luis,primera,2,2447
2014-11-06,san-luis,primera,3,5361
2014-11-06,san-luis,primera,4,5478
2014-11-06,san-luis,primera,5,7363
2014-11-06,san-luis,primera,6,0580
2014-11-06,san-luis,primera,7,2210
2014-11-06,san-luis,primera,8,2012
2014-11-06,san-luis,primera,9,8967
2014-11-06,san-luis,primera,10,0375
2014-11-06,san-luis,primera,11,3338
2014-11-06,san-luis,primera,12,0392
2014-11-06,san-luis,primera,13,7897
2014-11-06,san-luis,primera,14,2498
2014-11-06,san-luis,primera,15,0856
2014-11-06,san-luis,primera,16,3988
2014-11-06,san-luis,primera,17,1631
2014-11-06,san-luis,primera,18,1916
2014-11-06,san-luis,primera,19,7309
2014-11-06,san-luis,primera,20,3757
2014-11-06,san-luis,primera,Letras,- - - 
2014-11-07,san-luis,primera,1,5662
2014-11-07,san-luis,primera,2,9618
2014-11-07,san-luis,primera,3,2129
2014-11-07,san-luis,primera,4,0379
2014-11-07,san-luis,primera,5,0032
2014-11-07,san-luis,primera,6,1192
2014-11-07,san-luis,primera,7,2732
2014-11-07,san-luis,primera,8,3470
2014-11-07,san-luis,primera,9,5334
2014-11-07,san-luis,primera,10,3307
2014-11-07,san-luis,primera,11,5486
2014-11-07,san-luis,primera,12,2865
2014-11-07,san-luis,primera,13,7201
2014-11-07,san-luis,primera,14,4114
2014-11-07,san-luis,primera,15,6950
2014-11-07,san-luis,primera,16,8377
2014-11-07,san-luis,primera,17,2985
2014-11-07,san-luis,primera,18,3207
2014-11-07,san-luis,primera,19,7461
2014-11-07,san-luis,primera,20,2635
2014-11-07,san-luis,primera,Letras,- - - 
2014-11-08,san-luis,primera,1,2304
2014-11-08,san-luis,primera,2,3098
2014-11-08,san-luis,primera,3,8130
2014-11-08,san-luis,primera,4,6376
2014-11-08,san-luis,primera,5,1417
2014-11-08,san-luis,primera,6,0583
2014-11-08,san-luis,primera,7,0299
2014-11-08,san-luis,primera,8,8409
2014-11-08,san-luis,primera,9,9402
2014-11-08,san-luis,primera,10,2005
2014-11-08,san-luis,primera,11,5202
2014-11-08,san-luis,primera,12,9557
2014-11-08,san-luis,primera,13,7793
2014-11-08,san-luis,primera,14,4171
2014-11-08,san-luis,primera,15,9702
2014-11-08,san-luis,primera,16,2145
2014-11-08,san-luis,primera,17,7470
2014-11-08,san-luis,primera,18,5344
2014-11-08,san-luis,primera,19,0374
2014-11-08,san-luis,primera,20,0471
2014-11-08,san-luis,primera,Letras,- - - 
2014-11-10,san-luis,primera,1,6605
2014-11-10,san-luis,primera,2,2565
2014-11-10,san-luis,primera,3,6604
2014-11-10,san-luis,primera,4,1746
2014-11-10,san-luis,primera,5,6904
2014-11-10,san-luis,primera,6,9947
2014-11-10,san-luis,primera,7,9821
2014-11-10,san-luis,primera,8,9432
2014-11-10,san-luis,primera,9,4602
2014-11-10,san-luis,primera,10,4260
2014-11-10,san-luis,primera,11,4654
2014-11-10,san-luis,primera,12,2978
2014-11-10,san-luis,primera,13,1087
2014-11-10,san-luis,primera,14,2220
2014-11-10,san-luis,primera,15,0461
2014-11-10,san-luis,primera,16,1669
2014-11-10,san-luis,primera,17,9653
2014-11-10,san-luis,primera,18,6181
2014-11-10,san-luis,primera,19,8851
2014-11-10,san-luis,primera,20,3114
2014-11-10,san-luis,primera,Letras,- - - 
2014-11-11,san-luis,primera,1,3709
2014-11-11,san-luis,primera,2,1651
2014-11-11,san-luis,primera,3,0385
2014-11-11,san-luis,primera,4,0821
2014-11-11,san-luis,primera,5,1675
2014-11-11,san-luis,primera,6,0367
2014-11-11,san-luis,primera,7,2152
2014-11-11,san-luis,primera,8,8121
2014-11-11,san-luis,primera,9,0507
2014-11-11,san-luis,primera,10,0493
2014-11-11,san-luis,primera,11,1280
2014-11-11,san-luis,primera,12,3832
2014-11-11,san-luis,primera,13,4335
2014-11-11,san-luis,primera,14,2610
2014-11-11,san-luis,primera,15,9534
2014-11-11,san-luis,primera,16,1523
2014-11-11,san-luis,primera,17,0298
2014-11-11,san-luis,primera,18,2159
2014-11-11,san-luis,primera,19,9723
2014-11-11,san-luis,primera,20,7444
2014-11-11,san-luis,primera,Letras,- - - 
2014-11-12,san-luis,primera,1,7147
2014-11-12,san-luis,primera,2,1144
2014-11-12,san-luis,primera,3,8038
2014-11-12,san-luis,primera,4,3639
2014-11-12,san-luis,primera,5,2642
2014-11-12,san-luis,primera,6,3490
2014-11-12,san-luis,primera,7,7666
2014-11-12,san-luis,primera,8,5276
2014-11-12,san-luis,primera,9,7156
2014-11-12,san-luis,primera,10,5339
2014-11-12,san-luis,primera,11,2224
2014-11-12,san-luis,primera,12,5513
2014-11-12,san-luis,primera,13,1851
2014-11-12,san-luis,primera,14,5548
2014-11-12,san-luis,primera,15,1371
2014-11-12,san-luis,primera,16,9085
2014-11-12,san-luis,primera,17,4622
2014-11-12,san-luis,primera,18,6174
2014-11-12,san-luis,primera,19,2906
2014-11-12,san-luis,primera,20,2107
2014-11-12,san-luis,primera,Letras,- - - 
2014-11-13,san-luis,primera,1,0263
2014-11-13,san-luis,primera,2,2376
2014-11-13,san-luis,primera,3,7987
2014-11-13,san-luis,primera,4,2015
2014-11-13,san-luis,primera,5,1735
2014-11-13,san-luis,primera,6,0876
2014-11-13,san-luis,primera,7,9586
2014-11-13,san-luis,primera,8,0049
2014-11-13,san-luis,primera,9,4580
2014-11-13,san-luis,primera,10,9851
2014-11-13,san-luis,primera,11,8932
2014-11-13,san-luis,primera,12,2107
2014-11-13,san-luis,primera,13,8783
2014-11-13,san-luis,primera,14,6035
2014-11-13,san-luis,primera,15,9116
2014-11-13,san-luis,primera,16,8125
2014-11-13,san-luis,primera,17,3082
2014-11-13,san-luis,primera,18,8726
2014-11-13,san-luis,primera,19,9445
2014-11-13,san-luis,primera,20,3235
2014-11-13,san-luis,primera,Letras,- - - 
2014-11-14,san-luis,primera,1,5944
2014-11-14,san-luis,primera,2,6114
2014-11-14,san-luis,primera,3,4216
2014-11-14,san-luis,primera,4,9431
2014-11-14,san-luis,primera,5,9908
2014-11-14,san-luis,primera,6,6015
2014-11-14,san-luis,primera,7,6760
2014-11-14,san-luis,primera,8,8854
2014-11-14,san-luis,primera,9,5654
2014-11-14,san-luis,primera,10,3615
2014-11-14,san-luis,primera,11,9009
2014-11-14,san-luis,primera,12,8855
2014-11-14,san-luis,primera,13,8914
2014-11-14,san-luis,primera,14,5822
2014-11-14,san-luis,primera,15,4588
2014-11-14,san-luis,primera,16,7764
2014-11-14,san-luis,primera,17,1342
2014-11-14,san-luis,primera,18,7715
2014-11-14,san-luis,primera,19,1741
2014-11-14,san-luis,primera,20,4107
2014-11-14,san-luis,primera,Letras,- - - 
2014-11-15,san-luis,primera,1,6454
2014-11-15,san-luis,primera,2,6549
2014-11-15,san-luis,primera,3,8423
2014-11-15,san-luis,primera,4,6132
2014-11-15,san-luis,primera,5,9481
2014-11-15,san-luis,primera,6,1839
2014-11-15,san-luis,primera,7,1927
2014-11-15,san-luis,primera,8,4336
2014-11-15,san-luis,primera,9,3832
2014-11-15,san-luis,primera,10,9618
2014-11-15,san-luis,primera,11,7267
2014-11-15,san-luis,primera,12,5994
2014-11-15,san-luis,primera,13,6435
2014-11-15,san-luis,primera,14,7371
2014-11-15,san-luis,primera,15,2126
2014-11-15,san-luis,primera,16,3242
2014-11-15,san-luis,primera,17,9093
2014-11-15,san-luis,primera,18,9818
2014-11-15,san-luis,primera,19,2287
2014-11-15,san-luis,primera,20,8726
2014-11-15,san-luis,primera,Letras,- - - 
2014-11-17,san-luis,primera,1,5905
2014-11-17,san-luis,primera,2,1189
2014-11-17,san-luis,primera,3,8919
2014-11-17,san-luis,primera,4,2237
2014-11-17,san-luis,primera,5,6258
2014-11-17,san-luis,primera,6,0992
2014-11-17,san-luis,primera,7,9237
